market_id,market,countryiso3,admin1,admin2,latitude,longitude
3012,Pasar Cinde,IDN,SUMATERA SELATAN,KOTA PALEMBANG,-2.98,104.76
3013,Pasar Lemabang,IDN,SUMATERA SELATAN,KOTA PALEMBANG,-2.97,104.78
3014,Pasar Aksara,IDN,SUMATERA UTARA,KOTA MEDAN,3.6,98.71
3015,Pasar Brayan,IDN,SUMATERA UTARA,KOTA MEDAN,3.63,98.67
3016,Pasar Petisah,IDN,SUMATERA UTARA,KOTA MEDAN,3.59,98.67
3017,Pasar Sukaramai (Kota Medan),IDN,SUMATERA UTARA,KOTA MEDAN,3.58,98.7
3018,Pusat Pasar,IDN,SUMATERA UTARA,KOTA MEDAN,3.59,98.69
3019,Pasar Batu,IDN,SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1.38,99.27
3020,Pasar Sangkumpal Bonang,IDN,SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1.38,99.27
3021,Pasar Dwikora,IDN,SUMATERA UTARA,KOTA PEMATANGSIANTAR,2.97,99.07
3022,Pasar Horas,IDN,SUMATERA UTARA,KOTA PEMATANGSIANTAR,2.96,99.07
3023,Pasar Aek Habil,IDN,SUMATERA UTARA,KOTA SIBOLGA,1.73,98.8
3024,Pasar Nauli Sibolga,IDN,SUMATERA UTARA,KOTA SIBOLGA,1.74,98.78
6722,Pasar Nou Gunungsitoli,IDN,SUMATERA UTARA,KOTA GUNUNGSITOLI,1.29,97.62
6723,Pasar Beringin Gunungsitoli,IDN,SUMATERA UTARA,KOTA GUNUNGSITOLI,1.29,97.62
6724,Pasar Junjung Buih,IDN,KALIMANTAN BARAT,SINTANG,0.08,111.5
6725,Pasar Masuka,IDN,KALIMANTAN BARAT,SINTANG,0.08,111.48
6726,Pasar Kramat Sampit,IDN,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,-2.53,112.96
6727,Pasar Kemakmuran,IDN,KALIMANTAN SELATAN,KOTA BARU,-3.24,116.22
6728,Pasar 23 Maret,IDN,SULAWESI UTARA,KOTA KOTAMOBAGU,0.74,124.31
6729,Pasar Serasi,IDN,SULAWESI UTARA,KOTA KOTAMOBAGU,0.74,124.31
6730,Pasar Lama Timika,IDN,PAPUA,MIMIKA,-4.55,136.89
6731,Pasar Baru Timika,IDN,PAPUA,MIMIKA,-4.56,136.87
6732,Pasar Matawai,IDN,NUSA TENGGARA TIMUR,SUMBA TIMUR,-9.65,120.26
6733,Pasar Baru,IDN,NUSA TENGGARA TIMUR,SUMBA TIMUR,-9.66,120.24
10785,Pasar Simpong,IDN,SULAWESI TENGAH,BANGGAI,-0.97,122.79
10786,Pasar Poyowa Kecil,IDN,SULAWESI UTARA,KOTA KOTAMOBAGU,0.72,124.28
10787,Pasar Kayubulan Limboto,IDN,GORONTALO,GORONTALO,0.62,122.98
10788,Pasar Kalibobo,IDN,PAPUA,NABIRE,-3.37,135.49
10789,Pasar Karang Tumaritis,IDN,PAPUA,NABIRE,-3.38,135.5
10790,Pasar Potikelek,IDN,PAPUA,JAYAWIJAYA,-4.09,138.94
10791,Pasar Baru Wamena,IDN,PAPUA,JAYAWIJAYA,-4.07,138.94
